class,AATS4dv,C1SP2,C4SP3,NssCH2,NdsCH,NssssC,NdO,StCH,fragCpx,ZMIC1,FilterItLogS,PEOE_VSA2,PEOE_VSA12,SlogP_VSA10,EState_VSA1,nRing,n6aHRing,nG12FRing,n9FaRing
1,5.533333333333333,0,0,2,0,0,1,0.0,119.06,47.956260099881504,-4.280964242342208,0.0,0.0,0.0,5.756062822229453,3,0,0,0
1,4.0593311758360295,1,0,8,0,0,1,0.0,184.07,43.73038101088388,-4.29400330727558,0.0,0.0,4.794537184071822,0.0,4,0,0,0
0,6.715608465608465,1,0,1,0,1,1,0.0,144.1,54.9644530424644,-5.297394045004769,4.899909730850478,0.0,23.653168601779843,17.960266636528335,3,0,0,0
1,5.451770451770451,1,0,6,0,1,1,0.0,134.1,44.241772063819646,-4.55796164826148,0.0,0.0,17.96578232709628,17.960266636528335,3,0,0,0
1,6.052631578947368,1,0,0,0,1,1,0.0,70.1,39.8562253583801,-3.0969161931415843,0.0,0.0,17.96578232709628,6.362358859030383,2,0,0,0
0,4.602150537634409,1,0,0,0,0,1,0.0,124.06,47.897522281918256,-4.235036577785087,4.899909730850478,0.0,10.481923458755384,0.0,3,0,0,0
1,4.380471380471381,1,0,0,0,0,1,0.0,58.07,34.53862734009915,-3.1135581707830533,0.0,0.0,4.794537184071822,0.0,2,0,0,0
0,3.6191832858499526,1,0,9,0,0,1,0.0,139.08,43.27974666457112,-5.135715109436256,0.0,0.0,4.794537184071822,0.0,3,0,0,0
1,4.157894736842105,1,0,0,0,0,1,0.0,61.07,33.629909734642126,-2.627239528432727,0.0,0.0,4.794537184071822,0.0,2,0,0,0
0,6.571428571428571,1,0,0,0,1,1,0.0,144.1,53.7528182755839,-4.421284593814131,4.899909730850478,0.0,23.653168601779843,12.393473371368454,3,0,0,0
0,4.670329670329671,1,0,5,0,0,1,0.0,124.08,36.55494593443277,-3.076000993151592,0.0,0.0,4.794537184071822,0.0,3,0,0,0
1,4.27906976744186,1,0,0,0,0,1,0.0,114.06,44.84282800918064,-3.7114883839158574,0.0,0.0,4.794537184071822,0.0,3,0,0,0
0,3.5510204081632653,1,1,1,0,1,3,0.0,149.06,56.031191935559455,-4.764817576545149,9.589074368143644,5.907179729351506,4.794537184071822,23.59191219863112,3,0,0,0
1,4.1063829787234045,1,0,0,0,0,1,0.0,124.06,51.45093326416679,-4.235036577785087,0.0,0.0,4.794537184071822,0.0,3,0,0,0
